A001ABANO TERME                                       PD35031D3AB
I954STIGLIANO                                         MT75018S2BC
I955STIGNANO                                          RC89040T1EJ
I956STILO                                             RC89049T1EK
I959STIMIGLIANO                                       RI02048M4CV
M290STINTINO                                          SS00000V3DR
I960STIO                                              SA84075Q5GB
I962STORNARA                                          FG71047R3CE
I963STORNARELLA                                       FG71048R3CF
I964STORO                                             TN38089E1NN
I965STRA                                              VE30039D1BX
I968STRADELLA                                         PV27049C7IY
I969STRAMBINELLO                                      TO10010A1NC
I970STRAMBINO                                         TO10019A1ND
I973STRANGOLAGALLI                                    FR03020M2DB
I974STREGNA                                           UD33040F6GA
I975STREMBO                                           TN38080E1NS
I977STREVI                                            AL15019A2JK
I978STRIANO                                           NA80040Q1DX
I979STRIGNO                                           TN38059E1NT
I981STRONCONE                                         TR05039L2BM
I984STROPPIANA                                        VC13010A6GR
I985STROPPO                                           CN12020A4JS
I986STROZZA                                           BG24030C2LT
I990STURNO                                            AV83055Q2EM
B014SUARDI                                            PV27030C7AV
I991SUBBIANO                                          AR52010I2BQ
I992SUBIACO                                           RM00028M1FF
I993SUCCIVO                                           CE81030Q4EN
I995SUELLI                                            CA09040V1HD
I997SUISIO                                            BG24040C2LU
I998SULBIATE                                          MI20050C1RN
I804SULMONA                                           AQ67039N1EG
L002SULZANO                                           BS25058C3LJ
L003SUMIRAGO                                          VA21040C9HN
L004SUMMONTE                                          AV83010Q2EN
L006SUNI                                              NU08010V2DP
L007SUNO                                              NO28019A5KM
L008SUPERSANO                                         LE73040R4DJ
L009SUPINO                                            FR03019M2DC
L010SURANO                                            LE73030R4DK
L011SURBO                                             LE73010R4DL
L013SUSA                                              TO10059A1NE
L014SUSEGANA                                          TV31058D5DR
L015SUSTINENTE                                        MN46030C6CR
L016SUTERA                                            CL93010U3AV
L017SUTRI                                             VT01015M5CG
L018SUTRIO                                            UD33020F6GB
L019SUVERETO                                          LI57028I4AU
L020SUZZARA                                           MN46029C6CS
L023TADASUNI                                          OR09030V4CN
L024TAGGIA                                            IM18018G2DU
L025TAGLIACOZZO                                       AQ67069N1EH
L026TAGLIO DI PO                                      RO45019D4CK
L027TAGLIOLO MONFERRATO                               AL15070A2JL
L030TAIBON AGORDINO                                   BL32027D2CJ
L032TAINO                                             VA21020C9HP
L033TAIO                                              TN38010E1NW
G736TAIPANA                                           UD33040F6DZ
L034TALAMELLO                                         PS61010K4DK
L035TALAMONA                                          SO23018C8CQ
L036TALANA                                            NU08040V2DQ
L037TALEGGIO                                          BG24010C2LW
L038TALLA                                             AR52010I2BR
L039TALMASSONS                                        UD33030F6GC
L040TAMBRE                                            BL32010D2CK
L042TAORMINA                                          ME98039U6EG
L044TAPOGLIANO                                        UD33040F6GD
L046TARANO                                            RI02040M4CW
L047TARANTA PELIGNA                                   CH66018N2DV
L048TARANTASCA                                        CN12020A4JT
L049TARANTO                                           TA74100R5AA
L050TARCENTO                                          UD33017F6GE
D024TARQUINIA                                         VT01016M5CH
L055TARSIA                                            CS87040T3GA
L056TARTANO                                           SO23010C8CR
L057TARVISIO                                          UD33018F6GG
L058TARZO                                             TV31020D5DS
L059TASSAROLO                                         AL15060A2JN
L060TASSULLO                                          TN38010E1NX
L061TAURANO                                           AV83020Q2EP
L062TAURASI                                           AV83030Q2EQ
L063TAURIANOVA                                        RC89029T1EL
L064TAURISANO                                         LE73056R4DM
L065TAVAGNACCO                                        UD33010F6GH
L066TAVAGNASCO                                        TO10010A1NF
L067TAVARNELLE VAL DI PESA                            FI50028I1CL
L069TAVENNA                                           CB86030P1DV
L070TAVERNA                                           CZ88055T2FZ
L071TAVERNERIO                                        CO22038C4QW
L073TAVERNOLA BERGAMASCA                              BG24060C2LX
C698TAVERNOLE SUL MELLA                               BS25060C3DH
L074TAVIANO                                           LE73057R4DN
L078TAVOLETO                                          PS61020K4DL
L081TAVULLIA                                          PS61010K4DM
L082TEANA                                             PZ85030S1DR
L083TEANO                                             CE81057Q4EP
D292TEGGIANO                                          SA84039Q5CC
L084TEGLIO                                            SO23036C8CS
L085TEGLIO VENETO                                     VE30020D1BY
L087TELGATE                                           BG24060C2LY
L088TELTI                                             SS07020V3CY
L090TELVE DI SOPRA                                    TN38050E1PB
L089TELVE                                             TN38050E1PA
L093TEMPIO PAUSANIA                                   SS07029V3CZ
L094TEMU'                                             BS25050C3LK
L096TENNA                                             TN38050E1PC
L097TENNO                                             TN38060E1PD
L100TEOLO                                             PD35037D3DP
L101TEOR                                              UD33050F6GI
L102TEORA                                             AV83056Q2ES
L103TERAMO                                            TE64100N4AA
L104TERDOBBIATE                                       NO28070A5KQ
L105TERELLE                                           FR03040M2DD
L106TERENTO                                           BZ39030E2HU
L106TERENTEN                                          BZ39030E2HU
E548TERENZO                                           PR43040H5AY
M282TERGU                                             SS07030V3DN
L107TERLAGO                                           TN38070E1PE
L108TERLANO                                           BZ39018E2HV
L108TERLAN                                            BZ39018E2HV
L109TERLIZZI                                          BA70038R1BX
L111TERMENO SULLA STRADA DEL VINO                     BZ39040E2HW
L111TRAMIN AN DER WEINSTRASSE                         BZ39040E2HW
M210TERME VIGLIATORE                                  ME98050U6EQ
L112TERMINI IMERESE                                   PA90018U1CV
L113TERMOLI                                           CB86039P1DW
L115TERNATE                                           VA21020C9HQ
L117TERNI                                             TR05100L2AA
L118TERNO D'ISOLA                                     BG24030C2LZ
L120TERRACINA                                         LT04019M3BI
L121TERRAGNOLO                                        TN38060E1PH
L122TERRALBA                                          OR09098V4CP
L124TERRANOVA DA SIBARI                               CS87010T3GB
L126TERRANOVA DI POLLINO                              PZ85030S1DS
L127TERRANOVA SAPPO MINULIO                           RC89010T1EM
L123TERRANUOVA BRACCIOLINI                            AR52028I2BS
L131TERRASINI                                         PA90049U1CW
L132TERRASSA PADOVANA                                 PD35020D3DQ
L134TERRAVECCHIA                                      CS87060T3GD
L136TERRAZZO                                          VR37040D6EG
L137TERRES                                            TN38010E1PI
L138TERRICCIOLA                                       PI56030I7BR
L139TERRUGGIA                                         AL15030A2JP
L140TERTENIA                                          NU08047V2DR
L142TERZIGNO                                          NA80040Q1DY
L144TERZO DI AQUILEIA                                 UD33050F6GJ
L145TERZOLAS                                          TN38027E1PJ
L146TERZORIO                                          IM18010G2DW
L147TESERO                                            TN38038E1PK
L149TESIMO                                            BZ39010E2HY
L149TISENS                                            BZ39010E2HY
L150TESSENNANO                                        VT01010M5CI
L152TESTICO                                           SV17020G4DB
L153TETI                                              NU08030V2DS
L154TEULADA                                           CA09019V1HG
L155TEVEROLA                                          CE81030Q4EQ
L156TEZZE SUL BRENTA                                  VI36056D7EK
L157THIENE                                            VI36016D7EL
L158THIESI                                            SS07047V3DA
L160TIANA                                             NU08020V2DT
L162TIARNO DI SOPRA                                   TN38060E1PM
L163TIARNO DI SOTTO                                   TN38060E1PN
L164TICENGO                                           CR26014C5IY
L165TICINETO                                          AL15040A2JR
L166TIGGIANO                                          LE73030R4DP
L167TIGLIETO                                          GE16010G1EL
L168TIGLIOLE                                          AT14016A3EL
L169TIGNALE                                           BS25080C3LM
L172TINNURA                                           NU08010V2DU
L173TIONE DEGLI ABRUZZI                               AQ67020N1EI
L174TIONE DI TRENTO                                   TN38079E1PQ
L175TIRANO                                            SO23037C8CT
L176TIRES                                             BZ39050E2HZ
L176TIERS                                             BZ39050E2HZ
L177TIRIOLO                                           CZ88056T2GA
L178TIROLO                                            BZ39019E2IA
L178TIROL                                             BZ39019E2IA
L180TISSI                                             SS07040V3DB
L181TITO                                              PZ85050S1DT
L182TIVOLI                                            RM00019M1FG
L183TIZZANO VAL PARMA                                 PR43028H5BX
L184TOANO                                             RE42010H8BR
L185TOCCO CAUDIO                                      BN82030Q3DH
L186TOCCO DA CASAURIA                                 PE65028N3BV
L188TODI                                              PG06059L1DG
L189TOFFIA                                            RI02039M4CX
L190TOIRANO                                           SV17020G4DC
L191TOLENTINO                                         MC62029K3CD
L192TOLFA                                             RM00059M1FH
L194TOLLO                                             CH66010N2DX
L195TOLMEZZO                                          UD33028F6GK
L197TOLVE                                             PZ85017S1DU
L199TOMBOLO                                           PD35019D3DR
L200TON                                               TN38010E1PR
L201TONADICO                                          TN38039E1PS
L202TONARA                                            NU08039V2DV
L203TONCO                                             AT14039A3EM
L204TONENGO                                           AT14023A3EN
D717TONEZZA DEL CIMONE                                VI36040D7BT
L205TORA E PICCILLI                                   CE81050Q4ER
L206TORANO CASTELLO                                   CS87010T3GE
L207TORANO NUOVO                                      TE64010N4BT
L210TORBOLE CASAGLIA                                  BS25030C3LQ
L211TORCEGNO                                          TN38051E1PT
L212TORCHIARA                                         SA84076Q5GC
L213TORCHIAROLO                                       BR72020R2AS
L214TORELLA DEI LOMBARDI                              AV83057Q2ET
L215TORELLA DEL SANNIO                                CB86028P1DX
L216TORGIANO                                          PG06089L1DH
L217TORGNON                                           AO11020B1DF
L219TORINO                                            TO10100A1AA
L218TORINO DI SANGRO                                  CH66020N2DY
L220TORITTO                                           BA70020R1BY
L221TORLINO VIMERCATI                                 CR26017C5IZ
L223TORNACO                                           NO28070A5KS
L224TORNARECCIO                                       CH66046N2DZ
L225TORNATA                                           CR26030C5JA
L227TORNIMPARTE                                       AQ67049N1EJ
L228TORNO                                             CO22020C4QY
L229TORNOLO                                           PR43059H5BY
L230TORO                                              CB86018P1DY
L231TORPE'                                            NU00000V2DW
L233TORRACA                                           SA84030Q5GD
L235TORRALBA                                          SS07048V3DC
L237TORRAZZA COSTE                                    PV27050C7JB
L238TORRAZZA PIEMONTE                                 TO10037A1NI
L245TORRE ANNUNZIATA                                  NA80058Q1EA
L246TORREANO                                          UD33040F6GL
L248TORREBELVICINO                                    VI36036D7EM
L250TORRE BERETTI E CASTELLARO                        PV27030C7JD
L251TORRE BOLDONE                                     BG24020C2MA
L252TORRE BORMIDA                                     CN12070A4JW
L253TORREBRUNA                                        CH66050N2EA
L243TORRE CAJETANI                                    FR03010M2DE
L247TORRE CANAVESE                                    TO10010A1NJ
L254TORRECUSO                                         BN82030Q3DI
L259TORRE DEL GRECO                                   NA80059Q1EB
L263TORRE DE' PASSERI                                 PE65029N3BW
L258TORRE DE' PICENARDI                               CR26038C5JC
L265TORRE DE' ROVERI                                  BG24060C2MC
L267TORRE DI MOSTO                                    VE30020D1BZ
L240TORRE DI RUGGIERO                                 CZ88060T2GB
L244TORRE DI SANTA MARIA                              SO00000C8CU
L269TORRE D'ISOLA                                     PV27020C7JJ
L270TORREGLIA                                         PD35038D3DS
L271TORREGROTTA                                       ME98040U6EH
L272TORRE LE NOCELLE                                  AV83030Q2EU
L273TORREMAGGIORE                                     FG71017R3CG
L241TORRE MONDOVI'                                    CN12080A4JV
M286TORRENOVA                                         ME98070U6ES
L274TORRE ORSAIA                                      SA84077Q5GE
L276TORRE PALLAVICINA                                 BG24050C2MD
L277TORRE PELLICE                                     TO10066A1NK
L278TORRE SAN GIORGIO                                 CN00000A4JX
L279TORRE SAN PATRIZIO                                AP00000K2DR
L280TORRE SANTA SUSANNA                               BR00000R2AT
L281TORRESINA                                         CN12070A4JY
L282TORRETTA                                          PA90040U1CX
L285TORREVECCHIA PIA                                  PV27010C7JK
L284TORREVECCHIA TEATINA                              CH66010N2EB
L290TORRICE                                           FR03020M2DF
L294TORRICELLA                                        TA74020R5BC
L296TORRICELLA DEL PIZZO                              CR26040C5JD
L293TORRICELLA IN SABINA                              RI02030M4CZ
L291TORRICELLA PELIGNA                                CH66019N2EC
L295TORRICELLA SICURA                                 TE64010N4BU
L287TORRI DEL BENACO                                  VR37010D6EH
L297TORRI DI QUARTESOLO                               VI36040D7EN
L298TORRIGLIA                                         GE16029G1EM
L286TORRI IN SABINA                                   RI02049M4CY
L299TORRILE                                           PR43030H5BZ
L301TORRIONI                                          AV83010Q2EV
L303TORRITA DI SIENA                                  SI53049I9BM
L302TORRITA TIBERINA                                  RM00060M1FJ
A355TORTOLI'                                          NU08048V2AB
L304TORTONA                                           AL15057A2JT
L305TORTORA                                           CS87020T3GF
L306TORTORELLA                                        SA84030Q5GF
L307TORTORETO                                         TE64018N4BV
L308TORTORICI                                         ME98078U6EI
L309TORVISCOSA                                        UD33050F6GM
L312TOSCOLANO-MADERNO                                 BS00000C3LS
L314TOSSICIA                                          TE64049N4BW
L316TOVO DI SANT'AGATA                                SO00000C8CV
L315TOVO SAN GIACOMO                                  SV00000G4DD
L317TRABIA                                            PA90019U1CY
L319TRADATE                                           VA21049C9HS
L321TRAMATZA                                          OR09070V4CQ
L322TRAMBILENO                                        TN38068E1PW
L323TRAMONTI                                          SA84010Q5GG
L324TRAMONTI DI SOPRA                                 PN33090F5BU
L325TRAMONTI DI SOTTO                                 PN33090F5BV
L326TRAMUTOLA                                         PZ85057S1DV
L327TRANA                                             TO10090A1NL
L328TRANI                                             BA70059R1BZ
L329TRANSACQUA                                        TN38054E1PX
L330TRAONA                                            SO23019C8CW
L331TRAPANI                                           TP91100U9AA
L332TRAPPETO                                          PA90040U1CZ
L334TRASACCO                                          AQ67059N1EK
L335TRASAGHIS                                         UD33010F6GN
L337TRATALIAS                                         CA09010V1HI
L338TRAUSELLA                                         TO10080A1NM
I236TRAVACO' SICCOMARIO                               PV27020C7IJ
L339TRAVAGLIATO                                       BS25039C3LT
L342TRAVEDONA-MONATE                                  VA00000C9HU
L345TRAVERSELLA                                       TO10080A1NQ
L346TRAVERSETOLO                                      PR43029H5CA
L340TRAVES                                            TO10070A1NN
L347TRAVESIO                                          PN33090F5BW
L348TRAVO                                             PC29020H6BX
L349TREBASELEGHE                                      PD35010D3DT
L353TREBISACCE                                        CS87075T3GG
L354TRECASALI                                         PR43010H5CB
M280TRECASE                                           NA80040Q1EH
L355TRECASTAGNI                                       CT95039U4CD
L356TRECATE                                           NO28069A5KW
L357TRECCHINA                                         PZ85049S1DW
L359TRECENTA                                          RO45027D4CL
L361TREDOZIO                                          FO47019H3CC
L363TREGLIO                                           CH66030N2ED
L364TREGNAGO                                          VR37039D6EI
L366TREIA                                             MC62010K3CE
L367TREISO                                            CN12050A4KA
L369TREMESTIERI ETNEO                                 CT95030U4CE
L371TREMEZZO                                          CO22019C4RD
L372TREMOSINE                                         BS25010C3LU
L375TRENTA                                            CS87050T3GH
L377TRENTINARA                                        SA84070Q5GH
L378TRENTO                                            TN38100E1AA
L379TRENTOLA DUCENTA                                  CE81038Q4ET
L380TRENZANO                                          BS25030C3LV
L381TREPPO CARNICO                                    UD33020F6GP
L382TREPPO GRANDE                                     UD33010F6GQ
L383TREPUZZI                                          LE73019R4DQ
L384TREQUANDA                                         SI53020I9BN
L385TRES                                              TN38010E1PY
L386TRESANA                                           MS54012I6AW
L388TRESCORE BALNEARIO                                BG24069C2MF
L389TRESCORE CREMASCO                                 CR26017C5JF
L390TRESIGALLO                                        FE44039H2AY
L392TRESIVIO                                          SO23020C8CX
L393TRESNURAGHES                                      OR09079V4CR
L396TREVENZUOLO                                       VR37060D6EJ
L397TREVI                                             PG06039L1DI
L399TREVICO                                           AV83058Q2EW
L400TREVIGLIO                                         BG24047C2MG
L402TREVIGNANO                                        TV31040D5DT
L401TREVIGNANO ROMANO                                 RM00069M1FM
L403TREVILLE                                          AL15030A2JU
L398TREVI NEL LAZIO                                   FR03010M2DG
L404TREVIOLO                                          BG24048C2MH
L407TREVISO                                           TV31100D5AA
L406TREVISO BRESCIANO                                 BS25070C3LW
L408TREZZANO ROSA                                     MI20069C1SA
L409TREZZANO SUL NAVIGLIO                             MI20090C1SB
L413TREZZONE                                          CO22010C4RF
L411TREZZO SULL'ADDA                                  MI20056C1SC
L410TREZZO TINELLA                                    CN12050A4KB
L414TRIBANO                                           PD35020D3DU
L415TRIBIANO                                          MI20067C1SD
L416TRIBOGNA                                          GE16030G1EQ
L418TRICARICO                                         MT75019S2BD
L419TRICASE                                           LE73039R4DR
L420TRICERRO                                          VC13038A6GW
L421TRICESIMO                                         UD33019F6GR
L422TRICHIANA                                         BL32028D2CL
L423TRIEI                                             NU08040V2DY
L424TRIESTE                                           TS34100F1AA
L425TRIGGIANO                                         BA70019R1CA
L426TRIGOLO                                           CR26018C5JH
L427TRINITA'                                          CN12049A4KC
L428TRINITA' D'AGULTU E VIGNOLA                       SS00000V3DD
B915TRINITAPOLI                                       FG71049R3AP
L429TRINO VERCELLESE                                  VC00000A6GX
L430TRIORA                                            IM18010G2DZ
L431TRIPI                                             ME98060U6EJ
L432TRISOBBIO                                         AL15070A2JV
L433TRISSINO                                          VI36070D7ER
L434TRIUGGIO                                          MI20050C1SE
L435TRIVENTO                                          CB86029P1DZ
L437TRIVIGLIANO                                       FR03010M2DH
L438TRIVIGNANO UDINESE                                UD33050F6GS
L439TRIVIGNO                                          PZ85018S1DX
L440TRIVOLZIO                                         PV27020C7JQ
L444TRODENA                                           BZ39040E2ID
L444TRUDEN                                            BZ39040E2ID
L445TROFARELLO                                        TO10028A1NR
L447TROIA                                             FG71029R3CH
L448TROINA                                            EN94018U5AS
L449TROMELLO                                          PV27020C7JS
A705TRONZANO LAGO MAGGIORE                            VA21010C9HW
L451TRONZANO VERCELLESE                               VC13049A6GZ
L453TROVO                                             PV27020C7JT
L454TRUCCAZZANO                                       MI20060C1SH
L455TUBRE                                             BZ39020E2IE
L455TAUFERS                                           BZ39020E2IE
L457TUENNO                                            TN38019E1QA
L458TUFARA                                            CB86010P1EA
L459TUFILLO                                           CH66050N2EE
L460TUFINO                                            NA80030Q1EC
L461TUFO                                              AV83010Q2EX
L462TUGLIE                                            LE73058R4DS
L463TUILI                                             CA09059V1HJ
L464TULA                                              SS07010V3DE
L466TUORO SUL TRASIMENO                               PG06069L1DJ
G507TURANIA                                           RI02020M4CC
L470TURATE                                            CO22078C4RH
L471TURBIGO                                           MI20029C1SJ
L472TURI                                              BA70010R1CB
L473TURRI                                             CA09050V1HK
L474TURRIACO                                          GO34070F3FB
L475TURRIVALIGNANI                                    PE65020N3BX
L477TURSI                                             MT75028S2BE
L478TUSA                                              ME98079U6EK
L310TUSCANIA                                          VT01017M5CJ
C789UBIALE CLANEZZO                                   BG24010C2EA
L480UBOLDO                                            VA21040C9HX
L482UCRIA                                             ME98060U6EL
L483UDINE                                             UD33100F6AA
L484UGENTO                                            LE73059R4DT
L485UGGIANO LA CHIESA                                 LE73020R4DU
L487UGGIATE-TREVANO                                   CO22029C4RJ
L489ULASSAI                                           NU08040V2DZ
L488ULA' TIRSO                                        OR00000V4CS
L490ULTIMO                                            BZ39016E2IG
L490ULTEN                                             BZ39016E2IG
D786UMBERTIDE                                         PG06019L1BI
L494URAGO D'OGLIO                                     BS25030C3LY
L496URAS                                              OR09099V4CT
L497URBANA                                            PD35040D3DV
L498URBANIA                                           PS61049K4DP
L499URBE                                              SV17040G4DE
L500URBINO                                            PS61029K4DQ
L501URBISAGLIA                                        MC62010K3CF
L502URGNANO                                           BG24059C2MI
L503URI                                               SS07040V3DF
L505URURI                                             CB86049P1EB
L506URZULEI                                           NU08040V2EA
L507USCIO                                             GE16030G1ER
L508USELLUS                                           OR09090V4CU
L509USINI                                             SS07049V3DG
L511USMATE VELATE                                     MI20040C1SM
L512USSANA                                            CA09050V1HP
L513USSARAMANNA                                       CA09050V1HQ
L514USSASSAI                                          NU08040V2EB
L515USSEAUX                                           TO10060A1NS
L516USSEGLIO                                          TO10070A1NT
L517USSITA                                            MC62030K3CG
L519USTICA                                            PA90010U1DA
L521UTA                                               CA09010V1HR
L522UZZANO                                            PT51017I8AY
L524VACCARIZZO ALBANESE                               CS87060T3GI
L525VACONE                                            RI02040M4DA
L526VACRI                                             CH66010N2EF
L527VADENA                                            BZ39051E2IH
L527PFATTEN                                           BZ39051E2IH
L528VADO LIGURE                                       SV17047G4DF
L529VAGLIA                                            FI50030I1CN
L532VAGLIO BASILICATA                                 PZ85010S1DY
L531VAGLIO SERRA                                      AT14040A3EP
L533VAGLI SOTTO                                       LU55030I5BF
L535VAIANO CREMASCO                                   CR26010C5JI
L538VAIE                                              TO10050A1NU
L539VAILATE                                           CR26019C5JJ
L540VAIRANO PATENORA                                  CE81058Q4EU
M265VAJONT                                            PN33080F5CB
L544VALBONDIONE                                       BG24020C2MJ
L545VALBREMBO                                         BG24030C2MK
L546VALBREVENNA                                       GE16010G1ET
L547VALBRONA                                          CO22039C4RL
L550VALDA                                             TN38030E1QB
L551VALDAGNO                                          VI36078D7ES
L552VALDAORA                                          BZ39030E2IJ
L552OLANG                                             BZ39030E2IJ
L554VALDASTICO                                        VI36040D7ET
L555VAL DELLA TORRE                                   TO10040A1NW
G319VALDERICE                                         TP91019U9AQ
L557VALDIDENTRO                                       SO23038C8CY
L558VALDIERI                                          CN12010A4KE
L561VALDINA                                           ME98040U6EM
L562VAL DI NIZZA                                      PV27050C7JX
L563VALDISOTTO                                        SO23030C8CZ
L564VAL DI VIZZE                                      BZ39040E2IL
L564PFITSCH                                           BZ39040E2IL
L565VALDOBBIADENE                                     TV31049D5DU
L566VALDUGGIA                                         VC13018A6HB
L568VALEGGIO                                          PV27020C7JY
L567VALEGGIO SUL MINCIO                               VR37067D6EK
L569VALENTANO                                         VT01018M5CK
L570VALENZA                                           AL15048A2JY
L571VALENZANO                                         BA70010R1CC
L573VALFABBRICA                                       PG06029L1DK
L574VALFENERA                                         AT14017A3EQ
L575VALFLORIANA                                       TN38040E1QE
L576VALFURVA                                          SO23030C8DA
L577VALGANNA                                          VA21039C9HY
L578VALGIOIE                                          TO10094A1NX
L579VALGOGLIO                                         BG24020C2ML
L580VALGRANA                                          CN12020A4KF
L582VALGRISENCHE                                      AO11010B1DI
L583VALGUARNERA CAROPEPE                              EN94019U5AT
L584VALLADA AGORDINA                                  BL32020D2CM
L588VALLARSA                                          TN38060E1QF
L589VALLATA                                           AV83059Q2EY
L594VALLE AGRICOLA                                    CE81010Q4EW
L595VALLE AURINA                                      BZ39030E2IN
L595AHRNTAL                                           BZ39030E2IN
L596VALLEBONA                                         IM18012G2EB
L597VALLE CASTELLANA                                  TE64010N4BX
L598VALLECORSA                                        FR03020M2DI
L599VALLECROSIA                                       IM18019G2EC
L590VALLE DI CADORE                                   BL32040D2CN
L601VALLE DI CASIES                                   BZ39035E2IP
L601GSIES                                             BZ39035E2IP
L591VALLE DI MADDALONI                                CE81020Q4EV
L603VALLEDOLMO                                        PA90029U1DB
L604VALLEDORIA                                        SS07039V3DH
I322VALLEFIORITA                                      CZ88050T2EX
L593VALLE LOMELLINA                                   PV27020C7JZ
L609VALLELUNGA PRATAMENO                              CL93010U3AW
L605VALLEMAIO                                         FR03040M2DJ
L611VALLEPIETRA                                       RM00020M1FN
L612VALLERANO                                         VT01030M5CL
L613VALLERMOSA                                        CA09010V1HS
L614VALLEROTONDA                                      FR03040M2DK
L616VALLESACCARDA                                     AV83050Q2EZ
L617VALLE SALIMBENE                                   PV27010C7KA
L623VALLEVE                                           BG24010C2MN
L624VALLI DEL PASUBIO                                 VI36030D7EU
L625VALLINFREDA                                       RM00020M1FP
L626VALLIO TERME                                      BS25080C3MA
L628VALLO DELLA LUCANIA                               SA84078Q5GI
L627VALLO DI NERA                                     PG06040L1DL
L631VALLORIATE                                        CN12010A4KG
L629VALLO TORINESE                                    TO10070A1NY
L633VALMACCA                                          AL15040A2JZ
L636VALMALA                                           CN12020A4KH
L638VAL MASINO                                        SO23010C8DB
L639VALMONTONE                                        RM00038M1FQ
L640VALMOREA                                          CO22070C4RP
L641VALMOZZOLA                                        PR43050H5CC
L642VALNEGRA                                          BG24010C2MP
L643VALPELLINE                                        AO11010B1DJ
L644VALPERGA                                          TO10087A1NZ
B510VALPRATO SOANA                                    TO10080A1CM
H259VAL REZZO                                         CO22010C4NZ
L647VALSAVARENCHE                                     AO00000B1DL
L649VALSECCA                                          BG24030C2MQ
D513VALSINNI                                          MT75029S2BF
C936VALSOLDA                                          CO22010C4FX
L650VALSTAGNA                                         VI36020D7EX
L653VALTOPINA                                         PG06030L1DM
L655VALTORTA                                          BG24014C2MS
L654VALTOURNENCHE                                     AO11028B1DM
L656VALVA                                             SA84020Q5GJ
L657VALVASONE                                         PN33098F5BX
L658VALVERDE                                          CT95028U4CF
L468VALVESTINO                                        BS25080C3LX
L660VANDOIES                                          BZ39030E2IT
L660VINTL                                             BZ39030E2IT
L665VANZAGO                                           MI20010C1SS
L667VAPRIO D'ADDA                                     MI20069C1ST
L668VAPRIO D'AGOGNA                                   NO28010A5LE
L669VARALLO                                           VC13019A6HH
L670VARALLO POMBIA                                    NO28040A5LF
L671VARANO BORGHI                                     VA21020C9IA
L672VARANO DE' MELEGARI                               PR43040H5CD
L673VARAPODIO                                         RC89010T1EP
L675VARAZZE                                           SV17019G4DG
L676VARCO SABINO                                      RI02020M4DB
L677VAREDO                                            MI20039C1SU
L678VARENA                                            TN38030E1QI
L682VARESE                                            VA21100C9AA
L681VARESE LIGURE                                     SP19028G3BD
L685VARISELLA                                         TO10070A1PA
L686VARMO                                             UD33030F6GV
L687VARNA                                             BZ39040E2IX
L687VAHRN                                             BZ39040E2IX
L689VARSI                                             PR43049H5CE
L690VARZI                                             PV27057C7KC
L692VAS                                               BL32030D2CP
A701VASANELLO                                         VT01030M5AG
L693VASIA                                             IM18020G2EF
E372VASTO                                             CH66054N2BX
L696VASTOGIRARDI                                      IS86089P2CA
L697VATTARO                                           TN38040E1QK
L698VAUDA CANAVESE                                    TO10070A1PB
L700VAZZOLA                                           TV31028D5DV
L702VECCHIANO                                         PI56019I7BS
L704VEDANO AL LAMBRO                                  MI20057C1SV
L703VEDANO OLONA                                      VA21040C9ID
L705VEDDASCA                                          VA21010C9IE
L706VEDELAGO                                          TV31050D5DW
L707VEDESETA                                          BG24010C2MT
L709VEDUGGIO CON COLZANO                              MI20050C1SX
L710VEGGIANO                                          PD35030D3DW
L711VEGLIE                                            LE73010R4DV
L713VEJANO                                            VT01010M5CM
L715VELESO                                            CO22020C4RU
L716VELEZZO LOMELLINA                                 PV27020C7KD
L719VELLETRI                                          RM00049M1FR
L720VELLEZZO BELLINI                                  PV27010C7KE
L723VELO D'ASTICO                                     VI36010D7EY
L722VELO VERONESE                                     VR37030D6EL
L724VELTURNO                                          BZ39040E2IY
L724FELDTHURNS                                        BZ39040E2IY
L725VENAFRO                                           IS86079P2CB
L727VENARIA REALE                                     TO00000A1PD
L728VENAROTTA                                         AP63040K2DS
L729VENASCA                                           CN12020A4KI
L726VENAUS                                            TO10050A1PC
L730VENDONE                                           SV17030G4DI
L733VENEGONO INFERIORE                                VA21040C9IH
L734VENEGONO SUPERIORE                                VA21040C9II
L735VENETICO                                          ME98040U6EN
L736VENEZIA                                           VE30100D1AA
L737VENIANO                                           CO22070C4RW
L738VENOSA                                            PZ85029S1DZ
L739VENTICANO                                         AV83030Q2FA
L741VENTIMIGLIA                                       IM18039G2EG
L740VENTIMIGLIA DI SICILIA                            PA90020U1DC
L742VENTOTENE                                         LT04020M3BJ
L743VENZONE                                           UD33010F6GW
L745VERANO                                            BZ39010E2IZ
L745VOERAN                                            BZ39010E2IZ
L744VERANO BRIANZA                                    MI20050C1SY
L747VERBICARO                                         CS87020T3GJ
L748VERCANA                                           CO22013C4RX
L749VERCEIA                                           SO23020C8DC
L750VERCELLI                                          VC13100A6AA
L752VERDELLINO                                        BG24049C2MV
L753VERDELLO                                          BG24049C2MW
L758VERDUNO                                           CN12060A4KJ
L762VERGATO                                           BO40038H1CL
L763VERGEMOLI                                         LU55020I5BG
L764VERGHERETO                                        FO47028H3CD
L765VERGIATE                                          VA21029C9IJ
L768VERMEZZO                                          MI20080C1TA
L769VERMIGLIO                                         TN38029E1QM
L771VERNANTE                                          CN12019A4KK
L772VERNASCA                                          PC29010H6BZ
L773VERNATE                                           MI20082C1TB
L774VERNAZZA                                          SP19018G3BE
L776VERNOLE                                           LE73029R4DW
